objectid,reg,dep,cv,codgeo,libgeo,p21_pop
131900,93,83,8309,83073,Le Luc,11053
140823,24,37,3710,37156,Montlouis-sur-Loire,11048
121954,82,42,4212,42184,Riorges,11045
136218,23,76,7604,76410,Maromme,11024
111230,52,72,7216,72003,Allonnes,11013
133304,31,62,6214,62758,Saint-Martin-Boulogne,10999
111163,24,36,3609,36088,Issoudun,10992
133544,91,11,1108,11203,Lézignan-Corbières,10952
120032,26,21,2107,21171,Chevigny-Saint-Sauveur,10944
121277,82,69,6900,69273,Corbas,10932
126087,31,62,6224,62318,Étaples,10930
125461,82,01,0119,01160,Ferney-Voltaire,10920
125096,52,49,4917,49050,Brissac-Quincé,10895
130007,42,67,6704,67130,Erstein,10887
119195,73,31,3105,31116,Castelginest,10876
136494,11,91,9115,91086,Bondoufle,10862
125857,73,81,8115,81140,Lavaur,10830
143159,41,57,5718,57019,Amnéville,10828
124135,82,38,3820,38317,Le Pont-de-Claix,10805
124985,31,59,5923,59636,Wambrechies,10798
129888,91,66,6605,66008,Argelès-sur-Mer,10792
139581,52,44,4404,44204,Thouaré-sur-Loire,10783
138794,31,59,5902,59011,Annoeullin,10780
127663,43,25,2519,25580,Valentigney,10765
110784,11,91,9111,91216,Épinay-sur-Orge,10760
124864,23,76,7622,76216,Déville-lès-Rouen,10745
124535,24,37,3712,37109,Fondettes,10741
143158,11,78,7805,78138,Chanteloup-les-Vignes,10735
129808,91,66,6604,66141,Pia,10733
139045,93,83,8306,83098,Le Pradet,10728
117888,72,33,3328,33519,Le Taillan-Médoc,10727
118977,11,78,7809,78688,Voisins-le-Bretonneux,10721
121770,72,33,3308,33238,Léognan,10708
143842,01,971,97106,971124,Saint-Claude,10700
137960,72,24,2407,24053,Boulazac,10697
134940,11,92,9223,92077,Ville-d'Avray,10694
119469,72,64,6416,64430,Orthez,10684
120680,93,13,1328,13110,Trets,10678
113449,22,60,6003,60141,Chantilly,10652
119739,83,63,6304,63032,Beaumont,10650
112797,93,84,8412,84088,Pernes-les-Fontaines,10636
141262,72,64,6498,64422,Oloron-Sainte-Marie,10616
125989,91,30,3014,30202,Pont-Saint-Esprit,10600
111858,31,62,6232,62525,Longuenesse,10568
115264,93,05,0598,05023,Briançon,10561
126005,93,13,1325,13069,Pélissanne,10554
128653,21,51,5114,51573,Tinqueux,10552
140176,72,64,6410,64545,Urrugne,10543
136311,11,94,9418,94055,Ormesson-sur-Marne,10540
115436,91,34,3423,34255,Saint-Gély-du-Fesc,10537
141865,93,84,8401,84003,Apt,10536
144754,93,06,0612,06084,Mouans-Sartoux,10531
136242,53,35,3505,35069,Châteaugiron,10518
136426,21,10,1013,10362,Sainte-Savine,10515
135456,82,69,6900,69152,Pierre-Bénite,10515
113181,31,62,6234,62548,Marck,10494
130223,43,70,7097,70285,Héricourt,10478
144883,22,60,6005,60157,Clermont,10475
125532,22,02,0221,02810,Villers-Cotterêts,10454
115118,31,59,5929,59616,Vieux-Condé,10446
117964,82,69,6910,69243,Tarare,10428
119619,82,26,2617,26252,Portes-lès-Valence,10422
127319,91,34,3422,34337,Villeneuve-lès-Maguelone,10405
125146,11,77,7709,77464,Thorigny-sur-Marne,10405
126075,11,78,7803,78190,Croissy-sur-Seine,10399
123868,23,76,7625,76476,Notre-Dame-de-Gravenchon,10387
123256,73,31,3126,31588,Villeneuve-Tolosane,10369
114142,31,59,5930,59324,Jeumont,10342
120737,91,66,6608,66028,Cabestany,10338
123698,42,68,6817,68375,Wittelsheim,10334
112831,24,37,3702,37195,La Riche,10325
114735,11,91,9118,91661,Villebon-sur-Yvette,10322
135553,91,11,1109,11206,Limoux,10302
114424,82,38,3804,38085,Charvieu-Chavagneux,10280
142082,93,06,0621,06149,La Trinité,10276
127165,02,972,972,972223,Saint-Esprit,10270
142468,83,63,6317,63164,Gerzat,10258
143930,25,50,5002,50025,Avranches,10240
113933,42,67,6703,67067,Brumath,10238
128668,42,68,6808,68256,Pfastatt,10237
127114,53,35,3520,35055,Chantepie,10232
131805,52,44,4405,44209,Treillières,10230
120386,82,01,0113,01249,Miribel,10225
111297,25,50,5005,50099,Carentan,10220
113656,53,35,3526,35093,Dinard,10219
130003,24,45,4519,45075,La Chapelle-Saint-Mesmin,10218
142346,11,91,9114,91312,Igny,10213
138542,83,63,6303,63014,Aubière,10211
122045,31,62,6227,62637,Oignies,10210
136000,31,59,5914,59179,Douchy-les-Mines,10207
125275,31,62,6221,62250,Courrières,10199
131864,52,44,4403,44015,Blain,10187
123233,82,42,4201,42005,Andrézieux-Bouthéon,10187
112274,82,74,7409,74133,Gaillard,10175
113927,31,59,5937,59426,Neuville-en-Ferrain,10160
123687,52,85,8501,85003,Aizenay,10146
115208,72,33,3325,33312,Parempuyre,10142
132210,82,01,0109,01143,Divonne-les-Bains,10137
121903,23,76,7605,76165,Caudebec-lès-Elbeuf,10135
120415,73,31,3101,31033,Auterive,10126
117539,93,13,1328,13040,Fuveau,10115
144531,54,86,8614,86041,Buxerolles,10105
119411,53,29,2911,29058,Fouesnant,10098
124359,93,13,1311,13043,Gignac-la-Nerthe,10083
